xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2945033.316_-146947.349,1,Clay,,2945033.316,-146947.349,956.0798291,934.0798291,,,bh_214,outside_grid,outside_grid
2945033.316_-146947.349,2,Aquifer,Buffalo Aquifer,2945033.316,-146947.349,934.0798291,906.0798291,,,bh_214,outside_grid,outside_grid
2945033.316_-146947.349,3,Clay,,2945033.316,-146947.349,906.0798291,879.0798291,,,bh_214,outside_grid,outside_grid
2945033.316_-146947.349,4,Aquifer,,2945033.316,-146947.349,879.0798291,873.0798291,,,bh_214,outside_grid,outside_grid
2945033.316_-146947.349,5,Clay,,2945033.316,-146947.349,873.0798291,866.0798291,,,bh_214,outside_grid,outside_grid
2945063.468_-213244.713,1,Clay,,2945063.468,-213244.7134,955.0353152,895.0353152,,,bh_215,WSS,WSS
2945063.468_-213244.713,2,Aquifer,,2945063.468,-213244.7134,895.0353152,886.0353152,,,bh_215,WSS,WSS
2945063.468_-213244.713,3,Clay,,2945063.468,-213244.7134,886.0353152,854.0353152,,,bh_215,WSS,WSS
2945063.468_-213244.713,4,Aquifer,,2945063.468,-213244.7134,854.0353152,820.0353152,,,bh_215,WSS,WSS
2945063.468_-213244.713,5,Clay,,2945063.468,-213244.7134,820.0353152,751.0353152,,,bh_215,WSS,WSS
2945063.468_-213244.713,6,Aquifer,Wahpeton,2945063.468,-213244.7134,751.0353152,615.0353152,,,bh_215,WBV,WBV
2945189.123_-215759.662,1,Clay,,2945189.123,-215759.6619,956.5302388,863.5302388,,,bh_216,WSS,WSS
2945189.123_-215759.662,2,Aquifer,Wahpeton,2945189.123,-215759.6619,863.5302388,773.5302388,,,bh_216,WBV,WBV
2945189.123_-215759.662,3,Clay,,2945189.123,-215759.6619,773.5302388,750.5302388,,,bh_216,DC,DC
2945189.123_-215759.662,4,Bedrock,,2945189.123,-215759.6619,750.5302388,733.5302388,,,bh_216,DC,DC
2945331.694_-217803.394,1,,Wahpeton Buried Valley,2945331.694,-217803.3937,,,741.12,735.12,bh_217,outside_grid,outside_grid
2945333.482_-217806.097,1,Clay,,2945333.482,-217806.0972,960.64175,938.64175,,,bh_218,WSS,WSS
2945333.482_-217806.097,2,Aquifer,,2945333.482,-217806.0972,938.64175,935.64175,,,bh_218,WSS,WSS
2945333.482_-217806.097,3,Clay,,2945333.482,-217806.0972,935.64175,911.64175,,,bh_218,WSS,WSS
2945333.482_-217806.097,4,Aquifer,,2945333.482,-217806.0972,911.64175,896.64175,,,bh_218,WSS,WSS
2945333.482_-217806.097,5,Clay,,2945333.482,-217806.0972,896.64175,846.64175,,,bh_218,WSS,WSS
2945333.482_-217806.097,6,Aquifer,,2945333.482,-217806.0972,846.64175,830.64175,,,bh_218,WSS,WSS
2945333.482_-217806.097,7,Clay,,2945333.482,-217806.0972,830.64175,805.64175,,,bh_218,WSS,WSS
